name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Addis Ababa,2026-02-21,75.5,55.3,64.3,75.5,55.3,64.3,33.9,33.4,0,0,0,,0,0,11.6,10.1,125.6,1018.5,72,11.7,255.5,22,10,10,2026-02-21T06:42:05,2026-02-21T18:35:28,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HAAB,remote"
Addis Ababa,2026-02-22,76.9,58,65.9,76.9,58,65.9,35.1,32.7,0.004,0,4.17,rain,0,0,10.7,9.8,164.3,1012,87.8,15,240.4,20.9,10,10,2026-02-22T06:41:44,2026-02-22T18:35:35,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Addis Ababa,2026-02-23,76.4,58.6,66.2,76.4,58.6,66.2,34.7,31.7,0,0,0,,0,0,8.9,8.3,153.7,1011.3,87.6,15,240.7,20.6,10,10,2026-02-23T06:41:21,2026-02-23T18:35:41,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Addis Ababa,2026-02-24,78.2,59.6,67.1,78.2,59.6,67.1,36.4,33,0,0,0,,0,0,14.1,14.3,141,1012,63.4,15,287.9,24.8,10,10,2026-02-24T06:40:58,2026-02-24T18:35:46,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Addis Ababa,2026-02-25,75.5,58.4,65.6,75.5,58.4,65.6,38.7,38.2,0,3.2,0,,0,0,13.6,13.4,144.1,1013.5,81,15,291.3,25.3,10,10,2026-02-25T06:40:35,2026-02-25T18:35:51,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Addis Ababa,2026-02-26,70.8,59.3,64.4,70.8,59.3,64.4,42.9,46.3,0,6.5,0,,0,0,6.9,5.8,175.1,1014.1,84.7,15,156.6,13.5,6,10,2026-02-26T06:40:10,2026-02-26T18:35:56,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Addis Ababa,2026-02-27,70.1,57.5,63,70.1,57.5,63,46,54.8,0.079,12.9,33.33,rain,0,0,6.6,8.9,156.1,1012.6,93.1,13.2,155.5,13.5,7,10,2026-02-27T06:39:46,2026-02-27T18:36:00,0.35,Overcast,Cloudy skies throughout the day.,cloudy,
Addis Ababa,2026-02-28,65.4,56.9,60.2,65.4,56.9,60.2,50.1,69.6,0.557,22.6,33.33,rain,0,0,8.7,5.1,144.4,1012.7,86.9,10.8,147.5,12.6,5,10,2026-02-28T06:39:20,2026-02-28T18:36:03,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Addis Ababa,2026-03-01,65.9,55.3,60.1,65.9,55.3,60.1,50.5,71.6,1.13,32.3,33.33,rain,0,0,8.1,8.1,136.8,1013.7,93.5,9.7,183,15.6,7,10,2026-03-01T06:38:54,2026-03-01T18:36:06,0.42,Overcast,Cloudy skies throughout the day.,cloudy,
Addis Ababa,2026-03-02,66.6,54.2,59.7,66.6,54.2,59.7,50.4,72.1,0.41,32.3,29.17,rain,0,0,10.1,7.8,96.2,1014.9,89.2,9.8,169.5,14.9,7,10,2026-03-02T06:38:27,2026-03-02T18:36:09,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Addis Ababa,2026-03-03,67.9,55.1,58.8,67.9,55.1,58.8,51.4,77.2,0.839,22.6,33.33,rain,0,0,11,6.9,135.1,1015,87.6,10.6,172.4,15,9,10,2026-03-03T06:38:00,2026-03-03T18:36:11,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Addis Ababa,2026-03-04,69.3,55.8,60.9,69.3,55.8,60.9,50.6,69.9,0.469,19.4,29.17,rain,0,0,12.3,7.8,144.7,1013.5,84.4,13.6,235.9,20.5,9,10,2026-03-04T06:37:33,2026-03-04T18:36:13,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Addis Ababa,2026-03-05,68.3,56.7,61.5,68.3,56.7,61.5,49.7,65.9,0.169,16.1,33.33,rain,0,0,16.6,7.4,119.5,1014.3,98,13.7,170.4,14.7,7,10,2026-03-05T06:37:04,2026-03-05T18:36:14,0.56,Overcast,Cloudy skies throughout the day.,cloudy,
Addis Ababa,2026-03-06,68.8,54.9,61.4,68.8,54.9,61.4,47.2,60.8,0.048,16.1,20.83,rain,0,0,11.9,8.3,106.2,1015.5,84,15,190.3,16.5,8,10,2026-03-06T06:36:36,2026-03-06T18:36:15,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Addis Ababa,2026-03-07,67.6,56.9,62,67.6,56.9,62,45.4,55.2,0.052,16.1,25,rain,0,0,6.9,6.5,42.9,1016.1,72.1,14.7,159.6,13.8,7,10,2026-03-07T06:36:07,2026-03-07T18:36:16,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
